,Accident Number,Date and Time,Number of Motor Vehicles,Number of Injuries,Number of Fatalities,Property Damage,Hit and Run,Reporting Officer,Collision Type Code,Collision Type Description,Weather Code,Weather Description,Illumination Code,Illumination Description,Harmful Code,Harmful Code Description,Street Address,City,State,ZIP,RPA,Precinct,Latitude,Longitude,Mapped Location,month_year,Year,Month
26490,2010133143,1/29/2010 4:30,1,0,0,N,N,676828,2,HEAD-ON,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),I 40 W & MCCRORY LN,NASHVILLE,TN,37221,4702,WEST,36.0775,-87.0201,"(36.0775, -87.0201)",2010-01,2010,1
26823,2010141579,2/1/2010 18:45,1,0,0,N,N,580816,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),HOBSON PIKE & SMITH SPRINGS PKWY,ANTIOCH,TN,37013,8977,SOUTH,36.0685,-86.5852,"(36.0685, -86.5852)",2010-02,2010,2
26832,2010142105,2/1/2010 23:36,1,0,0,N,N,633376,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,2,RAIN,3,DARK - LIGHTED,50,DEER (ANIMAL),FRANKLIN PIKE & REDWOOD DR,NASHVILLE,TN,37220,7111,MIDTOW,36.056,-86.7756,"(36.056, -86.7756)",2010-02,2010,2
26922,2010148199,2/3/2010 23:33,1,0,0,N,N,562549,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),BURKITT RD & NOLENSVILLE PIKE,ANTIOCH,TN,37013,8767,SOUTH,35.9912,-86.6835,"(35.9912, -86.6835)",2010-02,2010,2
27347,2010171971,2/12/2010 6:08,1,0,0,N,N,551154,6,SIDESWIPE - OPPOSITE DIRECTION,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),BAKER STATION RD & SPRINGFIELD HWY,GOODLETTSVILLE,TN,37072,2201,MADISO,36.3762,-86.7484,"(36.3762, -86.7484)",2010-02,2010,2
27355,2010172197,2/12/2010 8:26,1,0,0,N,N,226022,2,HEAD-ON,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),HWY 70 S & OLD HICKORY BLVD,NASHVILLE,TN,37221,4901,WEST,36.0745,-86.921,"(36.0745, -86.921)",2010-02,2010,2
23702,20100178256,2/14/2010 17:45,2,0,0,N,N,676823,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,2,RAIN,3,DARK - LIGHTED,50,DEER (ANIMAL),HWY 70 S & OLD HICKORY BLVD,NASHVILLE,TN,37221,4901,WEST,36.0745,-86.921,"(36.0745, -86.921)",2010-02,2010,2
27559,2010183757,2/16/2010 18:46,1,0,0,N,N,637388,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),5130 MOUNT VIEW RD,,TN,37013,8861,SOUTH,36.0547,-86.6601,"(36.0547, -86.6601)",2010-02,2010,2
27755,2010196794,2/21/2010 8:50,1,0,0,N,N,224806,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),8088 RIVER ROAD PIKE,,TN,37209,4707,WEST,36.1871,-86.9559,"(36.1871, -86.9559)",2010-02,2010,2
27826,2010201433,2/23/2010 4:55,1,0,0,N,N,628640,2,HEAD-ON,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),BABY RUTH LN & MOUNT VIEW RD,ANTIOCH,TN,37013,8863,SOUTH,36.0432,-86.6403,"(36.0432, -86.6403)",2010-02,2010,2
27898,2010206530,2/24/2010 20:42,1,0,0,N,N,570084,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),MOUNT VIEW RD & OLD FRANKLIN RD,ANTIOCH,,37013,,SOUTH,36.0435,-86.6308,"(36.0435, -86.6308)",2010-02,2010,2
28068,2010218102,3/1/2010 6:24,1,0,0,N,N,226605,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),MARTINGALE DR & ROBINSON RD,OLD HICKORY,TN,37138,9611,HERMIT,36.2579,-86.6569,"(36.2579, -86.6569)",2010-03,2010,3
29445,2010302781,3/1/2010 20:09,1,0,0,N,Y,472337,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,3,DARK - LIGHTED,50,DEER (ANIMAL),HAMILTON CHURCH RD & HOBSON PIKE,ANTIOCH,TN,37013,8927,SOUTH,36.0587,-86.5978,"(36.0587, -86.5978)",2010-03,2010,3
28144,2010222238,3/2/2010 18:22,1,0,0,N,N,596386,2,HEAD-ON,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),N HIGHLANDS DR & OLD HICKORY BLVD,,,37221,,WEST,36.0669,-86.917,"(36.0669, -86.917)",2010-03,2010,3
28230,2010228245,3/4/2010 17:45,1,0,0,N,N,648798,4,ANGLE,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),FOREST ACRES DR & REDWOOD DR,,TN,37220,7111,MIDTOW,36.0566,-86.7788,"(36.0566, -86.7788)",2010-03,2010,3
28295,2010231879,3/5/2010 0:01,1,0,0,N,N,596399,2,HEAD-ON,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),CROMWELL DR & OLD HICKORY BLVD,,,37215,,SOUTH,36.0457,-86.8551,"(36.0457, -86.8551)",2010-03,2010,3
28290,2010231261,3/5/2010 19:17,1,0,0,N,N,676832,2,HEAD-ON,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),HWY 100 & HWY 96,NASHVILLE,TN,37221,4805,WEST,36.0176,-87.0309,"(36.0176, -87.0309)",2010-03,2010,3
28381,2010236505,3/8/2010 1:45,1,0,0,N,N,596399,2,HEAD-ON,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),HILLVIEW DR & OLD HICKORY BLVD,NASHVILLE,TN,37220,7111,MIDTOW,36.0376,-86.7934,"(36.0376, -86.7934)",2010-03,2010,3
28380,2010236492,3/8/2010 1:46,1,0,0,N,N,633374,2,HEAD-ON,1,NO ADVERSE CONDITIONS,3,DARK - LIGHTED,50,DEER (ANIMAL),MARTINGALE DR & ROBINSON RD,OLD HICKORY,TN,37138,9611,HERMIT,36.2579,-86.6569,"(36.2579, -86.6569)",2010-03,2010,3
28533,2010250003,3/13/2010 0:10,1,0,0,N,N,630624,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),7135 CHARLOTTE PIKE,,TN,37209,4701,WEST,36.127,-86.9082,"(36.127, -86.9082)",2010-03,2010,3
28635,2010257224,3/16/2010 4:15,1,0,0,N,N,676838,2,HEAD-ON,1,NO ADVERSE CONDITIONS,3,DARK - LIGHTED,50,DEER (ANIMAL),836 W TRINITY LN,,TN,37207,3013,NORTH,36.2071,-86.8001,"(36.2071, -86.8001)",2010-03,2010,3
28693,2010262405,3/17/2010 19:45,1,0,0,N,N,632442,2,HEAD-ON,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),COCKRILL BEND BLVD & COCKRILL BEND CIR,,TN,37209,4653,WEST,36.1761,-86.8946,"(36.1761, -86.8946)",2010-03,2010,3
28705,2010263876,3/18/2010 8:20,1,0,0,N,N,224486,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),HOLT HILLS RD & HOLT RD,NASHVILLE,TN,37211,8651,MIDTOW,36.0147,-86.7255,"(36.0147, -86.7255)",2010-03,2010,3
28755,2010266737,3/19/2010 9:00,1,1,0,N,N,224412,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),MCCRORY LN & NEWSOM STATION RD,NASHVILLE,TN,37221,4713,WEST,36.0784,-87.0219,"(36.0784, -87.0219)",2010-03,2010,3
28820,2010270244,3/20/2010 19:13,1,0,0,Y,N,620080,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),4539 BRICK CHURCH PIKE,GOODLETTSVILLE,TN,37072,2109,MADISO,36.299,-86.7829,"(36.299, -86.7829)",2010-03,2010,3
29307,2010296598,3/30/2010 18:58,1,0,0,N,N,418761,2,HEAD-ON,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),861 LAKEMONT CT,,TN,37220,7111,MIDTOW,36.0492,-86.7901,"(36.0492, -86.7901)",2010-03,2010,3
29495,2010305369,4/2/2010 19:20,1,0,0,N,N,685924,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,5,DUSK,50,DEER (ANIMAL),DICKERSON PIKE & HUNTERS LN,GOODLETTSVILLE,TN,37072,2109,MADISO,36.2777,-86.7513,"(36.2777, -86.7513)",2010-04,2010,4
60571,20111037618,4/3/2010 15:07,1,0,0,N,N,676823,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),MCCRORY LN & NEWSOM STATION RD,NASHVILLE,TN,37221,4713,WEST,36.0784,-87.0219,"(36.0784, -87.0219)",2010-04,2010,4
29603,2010312550,4/5/2010 11:50,1,0,0,N,N,226099,4,ANGLE,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),7395 OLD HICKORY BLVD,WHITES CREEK,TN,37189,3301,NORTH,36.2763,-86.8092,"(36.2763, -86.8092)",2010-04,2010,4
29917,2010328074,4/10/2010 23:05,1,1,0,N,N,607045,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,3,DARK - LIGHTED,50,DEER (ANIMAL),HWY 100 & VAUGHNS GAP RD,NASHVILLE,TN,37205,4913,WEST,36.0789,-86.8854,"(36.0789, -86.8854)",2010-04,2010,4
30117,2010339829,4/13/2010 21:32,1,0,0,N,N,633368,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),HWY 100 & OLD HICKORY BLVD,NASHVILLE,TN,37221,6211,WEST,36.0623,-86.9046,"(36.0623, -86.9046)",2010-04,2010,4
30368,2010354778,4/20/2010 20:30,1,0,0,N,N,653630,4,ANGLE,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),INDUSTRIAL DR & ROBINSON RD,OLD HICKORY,TN,37138,9611,HERMIT,36.2634,-86.6619,"(36.2634, -86.6619)",2010-04,2010,4
30456,2010360589,4/22/2010 18:20,1,0,0,N,N,608786,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),I 24 E & WHITES CREEK PIKE,JOELTON,TN,37080,3311,NORTH,36.3241,-86.8684,"(36.3241, -86.8684)",2010-04,2010,4
30609,2010368908,4/26/2010 2:21,1,0,0,N,N,676838,2,HEAD-ON,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),MM 39 I24 W,WHITES CREEK,TN,37189,2212,NORTH,36.2983,-86.8115,"(36.2983, -86.8115)",2010-04,2010,4
30725,2010376249,4/28/2010 14:20,1,0,0,N,N,226226,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),CHARLOTTE PIKE & SUMMERLY DR,NASHVILLE,,37205,,WEST,36.1368,-86.8835,"(36.1368, -86.8835)",2010-04,2010,4
30969,2010387581,5/3/2010 3:28,1,0,0,N,N,633380,2,HEAD-ON,5,FOG,3,DARK - LIGHTED,50,DEER (ANIMAL),DISSPAYNE DR & LEBANON PIKE,NASHVILLE,TN,37214,9403,HERMIT,36.1726,-86.6495,"(36.1726, -86.6495)",2010-05,2010,5
31324,2010407943,5/9/2010 6:46,1,0,0,N,N,226275,2,HEAD-ON,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),I 24 E & HICKORY HOLLOW PKWY,ANTIOCH,TN,37013,8704,SOUTH,36.0394,-86.6491,"(36.0394, -86.6491)",2010-05,2010,5
31352,2010410077,5/9/2010 20:26,1,0,0,N,N,467992,2,HEAD-ON,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),HWY 100 & OLD HICKORY BLVD,NASHVILLE,TN,37221,6211,WEST,36.0623,-86.9046,"(36.0623, -86.9046)",2010-05,2010,5
31576,2010424857,5/14/2010 0:32,1,0,0,N,N,405447,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,3,DARK - LIGHTED,50,DEER (ANIMAL),3021 MURFREESBORO PIKE,ANTIOCH,TN,37013,8927,SOUTH,36.0618,-86.6251,"(36.0618, -86.6251)",2010-05,2010,5
31731,2010430608,5/16/2010 5:15,1,0,0,N,N,596399,2,HEAD-ON,2,RAIN,3,DARK - LIGHTED,50,DEER (ANIMAL),6730 CHARLOTTE PIKE,NASHVILLE,TN,37209,5009,WEST,36.1351,-86.8868,"(36.1351, -86.8868)",2010-05,2010,5
32027,2010447202,5/21/2010 14:50,1,0,0,N,N,620080,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),MM 40 0 I24 W,WHITES CREEK,TN,37189,2210,MADISO,36.2841,-86.8065,"(36.2841, -86.8065)",2010-05,2010,5
32394,2010466447,5/28/2010 3:50,1,0,0,N,N,693105,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),HWY 100 & S HARPETH RD,NASHVILLE,TN,37221,4805,WEST,36.0255,-87.0235,"(36.0255, -87.0235)",2010-05,2010,5
32396,2010466584,5/28/2010 4:42,1,0,0,N,N,676824,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,3,DARK - LIGHTED,50,DEER (ANIMAL),I 24 E & I 65 S,NASHVILLE,TN,37207,3004,EAST,36.2204,-86.7749,"(36.2204, -86.7749)",2010-05,2010,5
32397,2010466777,5/28/2010 6:20,1,0,0,N,Y,714647,4,ANGLE,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),GRANNY WRIGHT LN & HOBSON PIKE,HERMITAGE,TN,37076,8973,SOUTH,36.1077,-86.5498,"(36.1077, -86.5498)",2010-05,2010,5
32622,2010479456,6/1/2010 20:30,1,0,0,N,N,676832,2,HEAD-ON,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),7400 RIVER ROAD PIKE,,TN,37209,4707,WEST,36.1493,-86.9509,"(36.1493, -86.9509)",2010-06,2010,6
33776,2010542416,6/3/2010 20:58,1,1,0,N,N,596386,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,12;50,MOTOR VEHICLE IN TRANSPORT;DEER (ANIMAL),CHARLOTTE PIKE & HWY 70 S,NASHVILLE,TN,37221,4711,WEST,36.0918,-86.9804,"(36.0918, -86.9804)",2010-06,2010,6
32815,2010489365,6/4/2010 21:29,1,0,0,N,N,633388,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),BELL RD & ELM HILL PIKE,NASHVILLE,,37214,,HERMIT,36.1423,-86.6273,"(36.1423, -86.6273)",2010-06,2010,6
32821,2010490032,6/5/2010 2:15,1,0,0,N,N,668422,2,HEAD-ON,1,NO ADVERSE CONDITIONS,3,DARK - LIGHTED,50,DEER (ANIMAL),ASHLAND CITY HWY & BRILEY PKWY N,NASHVILLE,TN,37218,3247,NORTH,36.2098,-86.8716,"(36.2098, -86.8716)",2010-06,2010,6
32869,2010492965,6/6/2010 6:00,1,0,0,N,N,226672,4,ANGLE,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),CLEECES FERRY RD & OLD HICKORY BLVD,NASHVILLE,TN,37218,3327,NORTH,36.204,-86.9274,"(36.204, -86.9274)",2010-06,2010,6
33148,2010506048,6/10/2010 19:28,1,1,0,N,N,414650,4,ANGLE,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),FOREST ACRES DR & FRANKLIN PIKE,,,37220,7111,MIDTOW,36.064,-86.7743,"(36.064, -86.7743)",2010-06,2010,6
33245,2010511692,6/12/2010 22:06,1,1,0,N,N,635484,2,HEAD-ON,1,NO ADVERSE CONDITIONS,2,DARK - NOT LIGHTED,50,DEER (ANIMAL),COLFAX DR & TWIN LAWN DR,NASHVILLE,TN,37214,9409,HERMIT,36.1521,-86.6584,"(36.1521, -86.6584)",2010-06,2010,6
33332,2010517819,6/15/2010 4:55,1,0,0,N,N,675829,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),CHARLOTTE PIKE & FORREST VALLEY DR,NASHVILLE,TN,37221,4711,WEST,36.1076,-86.9382,"(36.1076, -86.9382)",2010-06,2010,6
33437,2010524040,6/17/2010 5:20,2,0,0,N,N,617353,2,HEAD-ON,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),FRANKLIN PIKE & WILLOWDALE CT,,TN,37220,7111,MIDTOW,36.0577,-86.7745,"(36.0577, -86.7745)",2010-06,2010,6
33518,2010527774,6/18/2010 12:00,1,0,0,N,N,226622,4,ANGLE,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),HWY 100 & OLD HICKORY BLVD,NASHVILLE,TN,37221,6211,WEST,36.0623,-86.9046,"(36.0623, -86.9046)",2010-06,2010,6
33708,2010538561,6/22/2010 13:00,1,0,0,N,N,268030,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),HWY 100 & VAUGHNS GAP RD,NASHVILLE,TN,37205,4913,WEST,36.0789,-86.8854,"(36.0789, -86.8854)",2010-06,2010,6
33829,2010545426,6/24/2010 20:21,1,0,0,N,N,591933,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),807 CLAY LICK CT,WHITES CREEK,TN,37189,3303,NORTH,36.3062,-86.8181,"(36.3062, -86.8181)",2010-06,2010,6
33831,2010545602,6/24/2010 21:40,1,0,0,N,N,596386,2,HEAD-ON,1,NO ADVERSE CONDITIONS,3,DARK - LIGHTED,50,DEER (ANIMAL),HARDING PIKE & VAUGHNS GAP RD,NASHVILLE,TN,37205,4909,WEST,36.0926,-86.8854,"(36.0926, -86.8854)",2010-06,2010,6
34004,2010556778,6/29/2010 5:55,2,0,0,N,N,562549,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),BELL RD & OLD HICKORY BLVD,HERMITAGE,TN,37076,9545,HERMIT,36.1613,-86.5971,"(36.1613, -86.5971)",2010-06,2010,6
34052,2010558399,6/29/2010 18:40,1,0,0,N,N,596389,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),HWY 100 & WILLIAMSON LINE CORD,,TN,37221,4805,WEST,36.013,-87.0452,"(36.013, -87.0452)",2010-06,2010,6
34057,2010558722,6/29/2010 21:25,1,0,0,N,N,676832,2,HEAD-ON,1,NO ADVERSE CONDITIONS,3,DARK - LIGHTED,50,DEER (ANIMAL),KNOB RD & WHITE BRIDGE PIKE,NASHVILLE,TN,37209,5105,WEST,36.1378,-86.8577,"(36.1378, -86.8577)",2010-06,2010,6
34356,2010577698,7/7/2010 20:07,1,1,0,N,N,596388,4,ANGLE,1,NO ADVERSE CONDITIONS,5,DUSK,50,DEER (ANIMAL),HWY 100 & OLD HICKORY BLVD,NASHVILLE,TN,37221,6211,WEST,36.0623,-86.9046,"(36.0623, -86.9046)",2010-07,2010,7
34457,2010584386,7/9/2010 5:29,1,0,0,N,N,596399,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,4,DAWN,50,DEER (ANIMAL),1550 OLD HICKORY BLVD,,TN,37215,6305,MIDTOW,36.0421,-86.8343,"(36.0421, -86.8343)",2010-07,2010,7
34910,2010609508,7/19/2010 5:20,1,0,0,N,N,693105,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),HWY 100 & OLD HICKORY BLVD,NASHVILLE,TN,37221,6211,WEST,36.0623,-86.9046,"(36.0623, -86.9046)",2010-07,2010,7
35032,2010620954,7/23/2010 13:30,1,0,0,N,N,225968,2,HEAD-ON,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),GRAYS POINT RD & LITTLE MARROWBONE RD,,TN,37080,3339,NORTH,36.2719,-86.9255,"(36.2719, -86.9255)",2010-07,2010,7
35138,2010625962,7/25/2010 18:57,1,0,0,N,N,420034,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),I 65 S & LONG HOLLOW PIKE,GOODLETTSVILLE,TN,37072,2121,MADISO,36.324,-86.7049,"(36.324, -86.7049)",2010-07,2010,7
35798,2010662518,8/8/2010 18:08,1,0,0,N,N,693106,0,NOT COLLISION W/MOTOR VEHICLE-TRANSPORT,1,NO ADVERSE CONDITIONS,1,DAYLIGHT,50,DEER (ANIMAL),OLD HICKORY BLVD & WHITES CREEK PIKE,WHITES CREEK,TN,37189,3305,NORTH,36.2657,-86.8309,"(36.2657, -86.8309)",2010-08,2010,8
